idproduto,cdprincipal,dscodigo,dsdetalhe,vlprecovenda,stativo,qtestoque,qtestoque2,qtestoque_ttl
00000001PB,040451,9788527502474,INTRODUCAO A TEOLOGIA SISTEMATICA - V  NOVA,127.9,S,5.0,0.0,5.0
00000001PC,040452,9788527502634,NOVO TESTAMENTO TRILINGUE,102.9,S,0.0,0.0,0.0
00000001PD,040454,,PEQUENO DICIONARIO DE LINGUAS BIBLICAS,45.9,S,0.0,0.0,0.0
00000001PE,040455,9788527502528,13 LICOES BIBLICAS FUNDAMENTAIS P ADOLESC,35.9,S,0.0,0.0,0.0
00000001PF,040457,,CD PEROLA - Elaine de JEsus,5.0,S,0.0,0.0,0.0
00000001PG,040463,,RIO DE DEUS,29.0,S,0.0,0.0,0.0
00000001PH,040464,,SENTINELA DE ORACAO,29.0,S,0.0,0.0,0.0
00000001PI,040466,9788576070306,ADORACAO EXTRAVAGANTE,28.0,S,0.0,0.0,0.0
00000001PJ,040468,9788586522857,ABRACOS PARA AVOS,19.9,S,0.0,0.0,0.0
00000001PK,040469,7898925896814,CD MARA LIMA E SEUS AMIGUINHOS - 3,5.0,S,0.0,0.0,0.0
00000001PL,040471,7890000404716,PRENDEDOR DE CABELO,7.9,S,1.0,-1.0,0.0
00000001PM,040472,7890000404723,CHAVEIRO - METAL(Bijut Oliveira),9.9,S,3.0,-3.0,0.0
00000001PN,040474,7890000404747,URSINHO COLORIDO - PEQ,8.9,S,0.0,0.0,0.0
00000001PO,040475,7890000404754,URSINHO COLORIDO - MEDIO,13.9,S,0.0,0.0,0.0
00000001PP,040478,,DEVOCIONAL BIBLICO DE UM MINUTO,27.9,S,0.0,0.0,0.0
00000001PQ,040480,7890000404808,FONTE DE VIDA - MEDITACOES,18.0,S,0.0,0.0,0.0
00000001PR,040481,9788589320061,TEOLOGIA SISTEMATICA - CHAFER(04 VOL),298.0,S,0.0,0.0,0.0
00000001PS,040483,9788524302305,MULHERES QUE AMARAM A DEUS - Elizabeth G,47.9,S,0.0,0.0,0.0
00000001PT,040484,9788524302534,TODOS OS MILAGRES DA BIBLIA,38.9,S,1.0,-1.0,0.0
00000001PU,040487,9788524300363,COMO E QUANDO FALAR DE SEXOC SEUS FILHOS,39.9,S,0.0,0.0,0.0
00000001PV,040491,,PEQUENO MANUAL DE INST  DE DEUS SOBRE ORACAO,14.5,S,0.0,0.0,0.0
00000001PW,040492,7899938417539,BIBLIA DE RECURSOS P MIN C CRIANCAS - LUXO,259.9,S,5.0,0.0,5.0
00000001PW,040492,9788589320245,BIBLIA DE RECURSOS P MIN C CRIANCAS - LUXO,259.9,S,5.0,0.0,5.0
00000001PX,040493,9788589320399,INTRODUCAO AO ACONSELHAMENTO BIBLICO,59.9,S,0.0,0.0,0.0
00000001PY,040499,,HISTORIAS DO POVO DE DEUS(CD + 10 Livros),18.9,S,0.0,0.0,0.0
00000001PZ,040500,9788574590844,CRISTAO E O PRAZER SEXUAL,22.0,S,0.0,0.0,0.0
00000001Q0,040501,,FINANCAS CONFLITOS OU SUCESSOS?,16.0,S,0.0,0.0,0.0
00000001Q1,040502,,ESBOCOS DO PREGADOR PENTECOSTAL,19.9,S,0.0,0.0,0.0
00000001Q2,040503,,DIPLOMA - PADRAO,0.9,S,0.0,0.0,0.0
00000001Q3,040504,9788574590363,ESPIRITISMO - S V MILTON,15.0,S,9.0,0.0,9.0
00000001Q4,040505,7890000405058,PAPEL - COM PAUTA,0.15,S,340.0,-310.0,30.0
00000001Q5,040523,,DEUS DE TODOS OS MOMENTOS,10.9,S,1.0,-1.0,0.0
00000001Q9,040534,,DVD AMIGO DE DEUS,10.0,S,0.0,0.0,0.0
00000001QA,040535,,DVD QUERO ME APAIXONAR,10.0,S,0.0,0.0,0.0
00000001QB,040536,7897063697604,CD QUATRO POR UM,5.0,S,0.0,0.0,0.0
00000001QC,040539,7897063698052,CDPB REMIX - Marina de Oliveira,5.0,S,0.0,0.0,0.0
00000001QD,040540,,CD UM LINDO LUGAR,5.0,S,0.0,-1.0,-1.0
00000001QE,040541,,CDPB JARDIM SECRETO DA ADORACAO,5.0,S,0.0,0.0,0.0
00000001QF,040542,7898203061514,ESTILOS DE APRENDIZAGEM,54.95,S,9.0,0.0,9.0
00000001QF,040542,9788526304345,ESTILOS DE APRENDIZAGEM,54.95,S,9.0,0.0,9.0
00000001QG,040544,9788526306042,COMO ENSINAR CRIANCAS DO PRIMARIO,29.95,S,1.0,-1.0,0.0
00000001QH,040546,,COMO MELHORAR O LOUVOR NA SUA IGREJA,9.9,S,0.0,0.0,0.0
00000001QI,040548,,CD UM PASSEIO PELA HARPA 2 - Eliezer Rosa,5.0,S,0.0,-1.0,-1.0
00000001QJ,040550,,CD O BOM SAMARITANO,5.0,S,0.0,0.0,0.0
00000001QK,040554,,DVD ROSE NASCIMENTO AO VIVO,10.0,S,0.0,0.0,0.0
00000001QL,040555,,CD A VOZ DO BRASIL - Khorus,5.0,S,0.0,0.0,0.0
00000001QM,040557,7897159828417,CD FE IMBATIVEL - Kades Singers,5.0,S,0.0,0.0,0.0
00000001QN,040562,,CD CANTE COM ANDREA VOL - II,5.0,S,0.0,0.0,0.0
00000001QO,040563,7893248167108,CD FORCA DO AMOR - Andrea Fontes,5.0,S,0.0,0.0,0.0
00000001QP,040565,,CDPB PRESENCA - Lauriete,5.0,S,0.0,0.0,0.0
00000001QQ,040566,,CDPB CANCOES QUE MARCARAM EPOCA,5.0,S,0.0,0.0,0.0
00000001QR,040567,9788526306158,HISTORIA DA CONVENCAO GERAL,171.9,S,17.0,0.0,17.0
00000001QS,040568,7897063698205,CDPB INTIMIDADE COM O PAI,5.0,S,0.0,0.0,0.0
00000001QT,040569,7897063698274,CD DEUS NUNCA FALHA - Rozeane R,5.0,S,0.0,0.0,0.0
00000001QU,040573,,CD VARAO DO MOVIMENTO,5.0,S,0.0,0.0,0.0
00000001QV,040574,,CD JESUS E O DONO DA VITORIA,5.0,S,0.0,0.0,0.0
00000001QW,040575,9788573677270,COMO VENCER A INJUSTICA,15.0,S,0.0,0.0,0.0
00000001QX,040577,7898340550032,CD CORACAO DA NOIVA - (CD TRIPLO),5.0,S,0.0,0.0,0.0
00000001QY,040580,,CD A HORA DA VITORIA - N  Nonato,5.0,S,0.0,0.0,0.0
00000001QZ,040581,,CD MENINA DOS OLHOS DE DEUS - N  Nonato,5.0,S,0.0,0.0,0.0
00000001R0,040582,,CD RIO DO LEAO,5.0,S,0.0,0.0,0.0
00000001R1,040583,7898907585040,CD NOS ALTOS LUGARES - Samuel Barbosa,5.0,S,0.0,0.0,0.0
00000001R2,040585,7890000405850,DESCUBRA - A ALEGRIA VERDADEIRA VOL II,3.9,S,9.0,-2.0,7.0
00000001R3,040586,9788573677119,MAIS EFICAZ DE TODAS AS ORGANIZACOES,39.0,S,0.0,0.0,0.0
00000001R4,040587,9788526306134,PASTORES E LIDERES,52.9,S,0.0,0.0,0.0
00000001R5,040588,,CD AMERICA DE DEUS,5.0,S,0.0,0.0,0.0
00000001R6,040590,7890000405904,CURADOS PELA PALAVRA,22.0,S,0.0,0.0,0.0
00000001R7,040600,7898365280075,CD TARDE MIX - Coletanea,5.0,S,0.0,0.0,0.0
00000001R8,040601,,DE VOLTA AO LAR,16.6,S,0.0,0.0,0.0
00000001R9,040603,9788535800869,PORQUE PESSOAS BOAS FAZEM COISAS MAS,31.7,S,0.0,0.0,0.0
00000001RA,040605,7897063698267,CD VALE A PENA SONHAR - Novo Som,5.0,S,0.0,0.0,0.0
00000001RB,040609,7897476623221,LAPISEIRA - TRIS Glitter 0.7,6.9,S,2.0,-2.0,0.0
00000001RC,040611,,VIDAS PASSADAS - Jorge Linhares,9.0,S,1.0,-1.0,0.0
00000001RD,040612,7898215871637,ESTRAGANDO A FESTA - Jorge Linhares,9.0,S,1.0,-1.0,0.0
00000001RE,040615,7898215871873,TUDO PASSA - Jorge Linhares,9.0,S,1.0,-1.0,0.0
00000001RF,040616,,DAVI E SAUL - Jorge Linhares,9.0,S,0.0,0.0,0.0
00000001RG,040617,,LADRAO DE ALEGRIA - Jorge Linhares,9.0,S,0.0,0.0,0.0
00000001RH,040618,,SOU FILHO DE AUTORIDADE - Jorge Linhares,9.0,S,0.0,0.0,0.0
00000001RI,040619,,CD O SEGREDO E LOUVAR - Elaine Salles,5.0,S,0.0,0.0,0.0
00000001RJ,040620,7890000406208,CD MOMENTO CERTO - Ana Lucia,5.0,S,0.0,0.0,0.0
00000001RK,040623,,BONE - 98 ANOS IEAD BELEM,6.0,S,0.0,0.0,0.0
00000001RL,040624,,ADESIVO - 96 ANOS,1.0,S,0.0,0.0,0.0
00000001RM,040631,7890000406314,CD MEU REFUGIO - Nicoleti,5.0,S,0.0,0.0,0.0
00000001RN,040633,,TESOUROS ESCONDIDOS - Edmeia W,15.9,S,0.0,0.0,0.0
00000001RO,040634,,TIRANDO AGUA DO POCO - Eduardo Rosa,13.9,S,0.0,0.0,0.0
00000001RP,040635,,DOZE ANOS DOIS MILAGRES - Jorge Linhares,9.9,S,1.0,-1.0,0.0
00000001RQ,040636,,SEGREDOS DO CORACAO DE DEUS E DO HOMEM,12.9,S,0.0,0.0,0.0
00000001RR,040641,,CD MULHER PORQUE CHORAS - Marta Mara,5.0,S,0.0,0.0,0.0
00000001RS,040642,,CD TERAPIA DO AMOR - II,5.0,S,0.0,0.0,0.0
00000001RT,040643,,PRATICA DO ACONSELHAMENTO TERAPEUTICO,21.9,S,0.0,0.0,0.0
00000001RU,040644,,CD SIMPLESMENTE KIM,5.0,S,0.0,0.0,0.0
00000001RV,040646,0082551571222,CD THE SOUND OF JOY,5.0,S,0.0,0.0,0.0
00000001RW,040651,,CD MAIS QUE ABUNDANTE - Andre Valadao],5.0,S,0.0,0.0,0.0
00000001RX,040652,9788526306165,COLOSSENSES - Elinaldo Renovato,32.95,S,2.0,0.0,2.0
00000001RY,040653,,MIG E A BOLA - Mig e Meg,2.0,S,4.0,-4.0,0.0
00000001RZ,040654,,MEG E A MUSICA - Mig e Meg,2.0,S,1.0,-1.0,0.0
00000001S0,040655,,PATI E O APARELHO,2.0,S,2.0,-2.0,0.0
00000001S1,040656,,ME DA UM TEMPO - Mig e Meg,2.0,S,2.0,-2.0,0.0
00000001S2,040657,,VER E VIVER - Mig e Meg,2.0,S,8.0,-8.0,0.0
00000001S3,040658,,BONE E O CHINELO - Mig e Meg,2.0,S,7.0,-7.0,0.0
00000001S4,040659,,JULIA USA OCULOS - Mig e Meg,2.0,S,2.0,-2.0,0.0
00000001S5,040660,,TOM E GORDUCHO - Mig e Meg,2.0,S,6.0,-6.0,0.0
00000001S6,040661,,NOSSO CRIADOR TEM BOM HUMOR - Mig e Meg,2.0,S,3.0,-3.0,0.0
00000001S7,040662,,GENTES - Mig e Meg,2.0,S,4.0,-4.0,0.0
00000001S8,040665,,DANIEL NA COVA DOS LEOES - KAtharos,2.0,S,0.0,0.0,0.0
00000001S9,040667,,MURALHAS DE JERICO - katharos,2.0,S,0.0,0.0,0.0
00000001SA,040668,,ARCA DE NOE - Katharos,2.0,S,0.0,0.0,0.0
00000001SB,040669,,TORRE DE BABEL - Katharos,2.0,S,0.0,0.0,0.0
00000001SC,040671,,CANTATA - PARA O MEU PAI(Mig e Meg),29.9,S,0.0,-1.0,-1.0
00000001SD,040673,,CANTATA - NOITE FELIZ(Mig e Meg),39.9,S,0.0,0.0,0.0
00000001SE,040674,,CANTATA - NATAL BRASILEIRO(Mig e Meg),39.9,S,0.0,-1.0,-1.0
00000001SF,040675,,MULHER DA SACOLA(C CD),19.9,S,0.0,0.0,0.0
00000001SG,040681,,SELVACAO II - Mig e Meg,7.9,S,1.0,-1.0,0.0
00000001SH,040683,,CD ADORACAO 24 HORAS - VINHO NOVO,5.0,S,0.0,0.0,0.0
00000001SI,040684,,CDPB AMO VOCE VOL - 10,5.0,S,0.0,-1.0,-1.0
00000001SJ,040685,7897063698328,CDPB VALE A PENA SONHAR- NOVO SOM,5.0,S,0.0,0.0,0.0
00000001SK,040686,7897063698298,CD A CHUVA - Pamella,5.0,S,0.0,0.0,0.0
00000001SL,040689,,CD SELECAO DE OURO - SERGIO LOPES,5.0,S,0.0,-1.0,-1.0
00000001SM,040690,,HEROIS DA VIDA CRISTA - Weslwy Duewel,29.0,S,0.0,0.0,0.0
00000001SN,040692,,SETE PECADOS CAPITAIS - Bill Donahue,39.0,S,0.0,0.0,0.0
00000001SO,040694,9788573678406,HARMONIA DOS EVANGELHOS - Robert Thomas,39.0,S,0.0,0.0,0.0
00000001SP,040695,,SOMBRA DO TEMPLO - OSkar Skarsaune,49.0,S,0.0,0.0,0.0
00000001SQ,040696,9788573677065,10 HABITOS DAS PESSOAS ALTAMENTES SAUDAVEIS,49.0,S,0.0,0.0,0.0
00000001SR,040699,,CDPB QUERO ME APAIXONAR,5.0,S,0.0,0.0,0.0
00000001SS,040703,7898387730077,CD AMIGO INTIMO - Ouvir e Crer,5.0,S,0.0,0.0,0.0
00000001ST,040704,,CD NAO TEMAS CRE SOMENTE - Ouvir e Crer,5.0,S,0.0,0.0,0.0
00000001SU,040705,7898387730039,CD NA MONTANHA MAIS ALTA - Ouvir e Crer,5.0,S,0.0,0.0,0.0
00000001SV,040706,7898387730060,CD SORRIA PRA MIM - Ouvir e Crer,5.0,S,0.0,0.0,0.0
00000001SW,040707,,CD INCENDEIA-ME - Ouvir e crer,5.0,S,0.0,0.0,0.0
00000001SX,040708,7898387730084,CD VOLTADOS PARA O TRONO - Ouvir e Crer,5.0,S,0.0,0.0,0.0
00000001SY,040712,,HISTORIA DAS CONTROVERSIAS NA TEOLOGIA CRISTA,68.0,S,0.0,0.0,0.0
00000001SZ,040713,9788573677041,IDENTIDADE FEMININA SEGUNDO JESUS,29.0,S,1.0,-1.0,0.0
00000001T0,040714,,NAS PROFUNDEZAS DE DEUS,39.0,S,0.0,0.0,0.0
00000001T1,040715,,POTENCIAL CRIATIVO DO CONFLITO NO CASAMENTO,35.0,S,0.0,0.0,0.0
00000001T2,040716,,CDPB PORTAIS ETERNOS - Mara Lima,5.0,S,0.0,0.0,0.0
00000001T3,040717,7898931457252,CD PORTAIS ETERNOS - Mara Lima,5.0,S,0.0,0.0,0.0
00000001T4,040718,,CD SOBRENATURAL - Eliane Silva,5.0,S,0.0,0.0,0.0
00000001T5,040719,7899004725148,CD SANTA GERACAO - Rasgue os Ceus e Desce,5.0,S,0.0,0.0,0.0
00000001T6,040720,,CD TOQUE NO ALTAR - Min  Apascentar N Ig,5.0,S,0.0,0.0,0.0
00000001T7,040721,,CDPB A HORA DA VITORIA - N  Nonato,5.0,S,0.0,0.0,0.0
00000001T8,040723,9788526306271,SETE IGREJAS DO APOCALIPSE,29.95,S,0.0,0.0,0.0
00000001T9,040724,7898203060548,CDPB CLASSICOS INESQUECIVEIS I - V  Silva,5.0,S,0.0,0.0,0.0
00000001TA,040729,,CD CONQUISTANDO O IMPOSSIVEL - Jamilly,5.0,S,0.0,0.0,0.0
00000001TB,040730,,CD PAIXAO DE CRISTO,5.0,S,0.0,0.0,0.0
00000001TC,040732,,CDPB MARCAS - Logos,5.0,S,0.0,0.0,0.0
00000001TD,040733,789810488293,CD TODO DIA EM TODO LUGAR,5.0,S,0.0,0.0,0.0
00000001TE,040734,9788526306257,PAZ - Charles Stanley,35.9,S,0.0,0.0,0.0
00000001TF,040735,,APRENDA A SER PAI COM O PAI - Kenneth O  G,31.0,S,0.0,0.0,0.0
00000001TG,040736,,DESPERTE O LIDER QUE Hµ EM VOCE - George Barn,34.95,S,0.0,0.0,0.0
00000001TH,040737,,CD SONHO - Ze Marco e Adriano,5.0,S,0.0,0.0,0.0
00000001TI,040738,,CD DEUS DA DIFERENCA- Gerson Rufino,5.0,S,0.0,0.0,0.0
00000001TJ,040741,9788526306219,EXPLORANDO AS ESCRITURAS - Jonh Phillips,34.9,S,0.0,0.0,0.0
00000001TK,040743,,REVISTA GOSPEL MUSIC CD,8.9,S,0.0,0.0,0.0
00000001TL,040744,,CD JEKYLL E HYDE - Petra,5.0,S,0.0,0.0,0.0
00000001TM,040745,0054438805720,CD BEAT THE SYSTEM - Petra,5.0,S,0.0,0.0,0.0
00000001TN,040747,,CD RESTAURA-NOS - Prisma,5.0,S,0.0,0.0,0.0
00000001TO,040748,,CD LUZ - Prisma,5.0,S,0.0,0.0,0.0
00000001TP,040749,0080688559229,CD THE JESUS RECORD - Rich Mullins,5.0,S,0.0,0.0,0.0
00000001TQ,040750,7891951310965,CD COMPANHEIRAS DE LOUVOR VOL - III,5.0,S,0.0,-1.0,-1.0
00000001TR,040751,9781951311223,CD DIVAS EVANGELICAS,5.0,S,0.0,0.0,0.0
00000001TS,040754,0074948818720,CD FEARLESS - Crystal lewis,5.0,S,0.0,0.0,0.0
00000001TT,040755,7891951302670,CD BEYOND BELIEF - Petra,5.0,S,0.0,0.0,0.0
00000001TU,040756,0080688064327,CD THE FINEST MOMENTS - Sandy Patti,5.0,S,0.0,0.0,0.0
00000001TV,040757,7891951303288,CD ACAPPELLA - SPIRITUALS,5.0,S,0.0,0.0,0.0
00000001TW,040758,0080688375423,CD ACAPPELLA - TRADITIONAL,5.0,S,0.0,0.0,0.0
00000001TX,040759,0080688392420,CD ACAPPELLA - CLASSICS,5.0,S,0.0,0.0,0.0
00000001TY,040760,,MULHERES E SEUS HORMONIOS,26.9,S,0.0,0.0,0.0
00000001TZ,040761,,CD TOUCHED BY ANGEL,5.0,S,0.0,0.0,0.0
00000001U0,040766,,APAIXONE-SE PELA ORACAO,32.0,S,0.0,0.0,0.0
00000001U1,040767,,CAMISA - VEIGA BABYLOOK,19.9,S,0.0,0.0,0.0
00000001U2,040769,9788573253634,AGENTE - JErry Jenkings,39.0,S,0.0,0.0,0.0
00000001U3,040771,9788578607777,17 INCONTESTAVEIS LEIS DO TRAB EM EQUIPE,36.0,S,0.0,0.0,0.0
00000001U4,040772,,CASAMENTO TRANSFORMADO - Mauro Clark,29.0,S,0.0,0.0,0.0
00000001U5,040773,,LIDERANCA EM TEMPOS DE CRISE - Charles Swind,29.0,S,0.0,0.0,0.0
00000001U6,040774,,ALMA SOBREVIVENTE - Philip Yancey,39.9,S,0.0,0.0,0.0
00000001U7,040775,9788573253603,PODER DE ORAR JUNTOS - Stormie Omartian,29.9,S,0.0,0.0,0.0
00000001U8,040776,,SEGREDOS DA VINHA PARA MULHERES - Darlene M,19.5,S,0.0,0.0,0.0
00000001U9,040777,9788573253740,FE NO TRABALHO - Michael Zigarelli,34.9,S,0.0,0.0,0.0
00000001UA,040778,,MORRA E MUDE - PAulo Angelim,24.0,S,0.0,0.0,0.0
00000001UB,040779,9788573253498,MISTERIO DAS CRIANCAS - Mike Mason,39.9,S,0.0,0.0,0.0
00000001UC,040780,,DESEJO DE TODA MULHER - Stephen Arteburn,44.0,S,0.0,0.0,0.0
00000001UD,040782,,LIVRO DE PAULO,59.0,S,0.0,0.0,0.0
00000001UE,040783,,BIBLIA SCRIPT - B DOURADA Indice Bolso,19.9,S,1.0,-1.0,0.0
00000001UF,040785,,BIBLIA SCRIPT - C HARPA Carteira Bolso,24.9,S,3.0,-3.0,0.0
00000001UG,040786,,BIBLIA SCRIPT - C HARPA Indice Media,29.9,S,1.0,-1.0,0.0
00000001UH,040788,,BIBLIA SCRIPT - B DOURADA Indice Media,27.9,S,1.0,-1.0,0.0
00000001UI,040789,,BIBLIA SCRIPT - C HARPA Indice Bolso,22.9,S,4.0,-4.0,0.0
00000001UJ,040790,7891191002200,PAPEL - REPORT/CHAMEX (RESMA),29.9,S,11.0,-2.0,9.0
00000001UK,040792,7890000407922,CARTAO REQUINTE - 4030CP,2.0,S,0.0,0.0,0.0
00000001UL,040793,7890000407939,CARTAO REQUINTE - 4040CP,3.0,S,0.0,0.0,0.0
00000001UM,040794,7890000407946,CARTAO REQUINTE - 4050CP,3.5,S,0.0,0.0,0.0
00000001UN,040795,7890000407953,CARTAO REQUINTE - 4055CP,3.5,S,0.0,0.0,0.0
00000001UO,040796,,ESTRATEGIAS DE DEUS PARA LIDERES,30.0,S,0.0,0.0,0.0
00000001UP,040797,9798598303122,SE EU REALMENTE QUISESSE FAZER A DIFERENCA,13.9,S,1.0,-1.0,0.0
00000001UQ,040798,,QUER NAMORAR COMIGO,13.9,S,0.0,0.0,0.0
00000001UR,040800,,PODER DOS ANJOS - Larry Keefauver,17.9,S,0.0,0.0,0.0
00000001US,040801,,ABRAOS PARA HEROIS - LArry Keefauver,19.9,S,0.0,0.0,0.0
00000001UT,040802,9788586522994,RESOLVA COM ORACAO - Charles Stanley,23.0,S,0.0,0.0,0.0
00000001UU,040805,,CD RESGATA-ME - Rosa Almeida,5.0,S,0.0,0.0,0.0
00000001UV,040806,9771679275006,SMILINGUIDO EM QUADRINHOS,1.9,S,197.0,-197.0,0.0
00000001UW,040807,7897601010551,DVD A INVASAO,10.0,S,0.0,0.0,0.0
00000001UY,040811,,CEM MELHORES DE OZEIAS DE PAULA,6.0,S,0.0,0.0,0.0
00000001UZ,040812,,BIBLIA SCRIPT - C HARPA ZIPER Indice Bolso,24.9,S,0.0,0.0,0.0
00000001V0,040813,9788526306233,RESPOSTAS AS DUVIDAS DE SEUS ADOLESCENTES,36.9,S,0.0,0.0,0.0
00000001V1,040814,9788526306455,ADOLESCENTES S A - Ciro Sanches,29.95,S,1.0,-1.0,0.0
00000001V2,040815,9788526306356,DICIONARIO DE EDUCACAO CRISTA - MArcos Tuler,27.95,S,0.0,0.0,0.0
00000001V3,040817,9788526306400,HISTORIA DE JASMIM - Rosa Jurandir,19.95,S,0.0,0.0,0.0
00000001V4,040818,9788526306448,IMPORTANCIA DO EV  INFANTO JUVENIL - Helena F,18.9,S,0.0,0.0,0.0
00000001V5,040819,,SABEDORIA DE DEUS NA VIDA DA MULHER - Elizab,31.9,S,0.0,0.0,0.0
00000001V6,040820,,MESTRE DOS MESTRES - Analise Int de Cristo,19.9,S,0.0,0.0,0.0
00000001V7,040822,,MESTRE DA VIDA - Analise da Int de Cristo,19.9,S,0.0,0.0,0.0
00000001V8,040823,,MESTRE DO AMOR - Analise da Int de Cristo,19.9,S,0.0,0.0,0.0
00000001V9,040824,,MESTRE INESQUECIVEL - Analise da Int de Crist,19.9,S,0.0,0.0,0.0
00000001VA,040825,,TREINANDO A EMOCAO PARA SER FELIZ,21.9,S,0.0,0.0,0.0
00000001VB,040826,,SUPERANDO O CARCERE DA EMOCAO,21.9,S,0.0,0.0,0.0
00000001VC,040827,,12 SEMANAS PARA MUDAR UMA VIDA,21.9,S,0.0,0.0,0.0
00000001VD,040828,,COMO FICAR RICO,21.9,S,0.0,0.0,0.0
00000001VE,040831,,CD BANDA CHAMA,5.0,S,0.0,0.0,0.0
00000001VF,040833,,BRONZE - CASTICAL GRANDE C 03 HASTES(2022),98.9,S,0.0,0.0,0.0
00000001VG,040840,,BRONZE - SINO DE PAREDE MEDIO(9131),48.9,S,0.0,0.0,0.0
00000001VH,040843,,BRONZE - PORTA BIBLIA C,59.9,S,0.0,0.0,0.0
00000001VI,040846,,CD AZEITE QUENTE - Adelson M,5.0,S,0.0,0.0,0.0
00000001VJ,040852,7897261002651,CD GROOVE SOUL,5.0,S,0.0,0.0,0.0
00000001VK,040853,7897261002767,CD TUDO VAI MUDAR - Militantes,5.0,S,0.0,0.0,0.0
00000001VL,040855,,CD NAS MAOS DO SENHOR - Metal Nobre,5.0,S,0.0,0.0,0.0
00000001VM,040857,,CD NA TERRA DAS APARENCIAS - Virtud,5.0,S,0.0,0.0,0.0
00000001VN,040858,,CD RENASCER PRAISE VOL-10,5.0,S,0.0,-1.0,-1.0
00000001VO,040859,7897261003016,CDPB EU AMO TE AMAR - Marcelo Aguiar,5.0,S,0.0,0.0,0.0
00000001VP,040860,,CDPB RENASCER PRAISE VOL-10,5.0,S,0.0,0.0,0.0
00000001VQ,040861,7897261003245,CD RESGATE AO VIVO 15 ANOS,5.0,S,0.0,0.0,0.0
00000001VR,040864,,CANTATA - HAVERA NATAL PARA O ZE,12.0,S,0.0,0.0,0.0
00000001VS,040866,,CANTATA - A NOITE DOS PASTORES,12.0,S,0.0,0.0,0.0
00000001VT,040873,,CD PODER SEM LIMITE - Vanessa Leal,5.0,S,0.0,0.0,0.0
00000001VU,040875,,CDPB OUCO DEUS ME CHAMAR,5.0,S,0.0,0.0,0.0
00000001VV,040876,,UMA CURVA NA ESTRADA - David Jeremiah,35.0,S,0.0,0.0,0.0
00000001VW,040877,,COMO COLOCAR SUAS IDEIAS NO PAPEL - Luann B,29.0,S,0.0,0.0,0.0
00000001VX,040879,9788573677072,AMOR VENCEU O MEDO - Dan Baudmann,35.9,S,0.0,0.0,0.0
00000001VY,040881,7898203060555,CD OS PORTAIS - Vitorino Silva,5.0,S,0.0,0.0,0.0
00000001VZ,040882,9788526306387,DINAMICAS CRIATIVAS PARA O ENSINO BIBLICO,29.9,S,1.0,-1.0,0.0
00000001W0,040884,7890000408844,CD CORACAO ROMANTICO VOL - II,5.0,S,0.0,0.0,0.0
00000001W1,040885,7893248459401,CD MARCELO NASCIMENTO E FAMILIA,5.0,S,0.0,0.0,0.0
00000001W2,040886,7897159828448,CDPB FE IMBATIVEL,5.0,S,0.0,0.0,0.0
00000001W3,040887,7890000408875,CDPB SEMPRE ASSIM - Bruna Melo,5.0,S,0.0,0.0,0.0
00000001W4,040888,7897159822149,CDPB AGUAS CRISTALINAS,5.0,S,0.0,0.0,0.0
00000001W5,040889,7897159828547,CDPB SIMPLESMENTE KIM,5.0,S,0.0,0.0,0.0
00000001W6,040890,7897063698304,CDPB A CHUVA - Pamela,5.0,S,0.0,0.0,0.0
00000001W7,040891,7897063698373,DVD POR TODA VIDA - Voices,10.0,S,0.0,0.0,0.0
00000001W8,040892,7897063698403,CDPB PRESENCA DE DEUS - M  Gomes,5.0,S,0.0,0.0,0.0
00000001W9,040893,7890000408936,OLEO PARA UNCAO - 10 ml,3.9,S,697.0,-592.0,105.0
00000001WA,040894,,BANDEIRA - CIRCULO DE ORACAO,159.9,S,13.0,0.0,13.0
00000001WB,040901,9788573439816,COMO TOMAR POSSE DA BENCAO - RR Soares,24.9,S,0.0,0.0,0.0
00000001WC,040908,,QUE FAZER QUANDO A FE PARECE FRACA E A,17.9,S,0.0,0.0,0.0
00000001WD,040909,9788573437713,CURA DE CRISTO - T L Osborn,12.9,S,0.0,0.0,0.0
00000001WE,040917,,CD ATITUDE,5.0,S,0.0,0.0,0.0
00000001WF,040919,,CD LOUVOR 9 - VPC,5.0,S,0.0,0.0,0.0
00000001WG,040920,,CD IF YOU SAY GO,5.0,S,0.0,0.0,0.0
00000001WH,040921,7890000409216,CD EMANUEL TA NA AREA - NAzaritos,5.0,S,0.0,0.0,0.0
00000001WI,040924,,CARTAO SMILINGUIDO COD - 002162,2.5,S,0.0,0.0,0.0
00000001WJ,040925,,CARTAO SMILINGUIDO COD - 002187,4.0,S,0.0,0.0,0.0
00000001WK,040927,7890000409278,CARTAO J I CART - NL (Envelope),3.9,S,0.0,0.0,0.0
00000001WL,040933,7890000409339,CD QUANDO DEUS ORDENA - Francy Lopes,5.0,S,0.0,0.0,0.0
00000001WN,040938,,CD MUNDO DE SONHOS,5.0,S,0.0,0.0,0.0
00000001WO,040939,,CD ESPERANCA - Diante do Trono,5.0,S,0.0,0.0,0.0
00000001WP,040941,,CD GLORIA ALELUIA E LOUVOR - Agenor Filho,5.0,S,0.0,0.0,0.0
00000001WQ,040947,7890000409476,CD CLAMOR DE UM FIEL - Adaylton e Ribamar,5.0,S,0.0,0.0,0.0
00000001WR,040948,,CD SONHOS - Zildeth Dias,5.0,S,0.0,0.0,0.0
00000001WS,040949,,CD 96 ANOS IEAD BELEM,5.0,S,0.0,0.0,0.0
